loss,reward
0.1070433259010315,151.0
0.3031995892524719,214.0
0.0632060319185257,260.0
0.05257205292582512,299.0
1.9781999588012695,263.0
0.04922596365213394,73.0
0.12031150609254837,129.0
0.07703453302383423,183.0
0.9064853191375732,304.0
0.14713111519813538,347.0
0.017474038526415825,22.0
0.06046754866838455,12.0
0.1380797028541565,290.0
0.35480353236198425,53.0
0.07828040421009064,173.0
0.10114894062280655,213.0
1.5640032291412354,17.0
0.0538058876991272,128.0
0.21203117072582245,154.0
0.10189756751060486,91.0
0.09670394659042358,201.0
0.15328028798103333,185.0
0.10304270684719086,196.0
0.041729409247636795,351.0
0.6258971095085144,182.0
0.05105314403772354,182.0
0.16330429911613464,73.0
5.197112083435059,240.0
0.19043280184268951,259.0
0.14998453855514526,220.0
0.07380342483520508,180.0
0.03940417617559433,225.0
0.06925037503242493,64.0
0.050979599356651306,233.0
0.099606454372406,54.0
11.60570240020752,221.0
0.11172722280025482,245.0
0.05002498999238014,238.0
0.09167899936437607,184.0
0.07748974859714508,377.0
0.07726307213306427,263.0
0.08039985597133636,203.0
0.03871682658791542,351.0
0.0356270968914032,328.0
0.09508274495601654,235.0
0.1757338047027588,269.0
0.06859967857599258,333.0
0.1404954195022583,372.0
0.040101248770952225,167.0
0.08340642601251602,296.0
0.03485342115163803,227.0
0.17051397264003754,233.0
0.08953831344842911,353.0
0.047430336475372314,240.0
0.044003818184137344,234.0
0.09937801212072372,277.0
0.036147408187389374,211.0
0.31081971526145935,164.0
0.20201852917671204,259.0
0.10485463589429855,22.0
0.2032197266817093,119.0
0.03352631255984306,240.0
1.9062583446502686,200.0
0.037218205630779266,202.0
0.8780990242958069,181.0
0.15531831979751587,160.0
0.2934592366218567,133.0
0.18124383687973022,415.0
0.2910245954990387,36.0
0.03023259900510311,251.0
0.057523563504219055,219.0
0.13080233335494995,241.0
0.042497530579566956,155.0
0.11515382677316666,108.0
0.31267207860946655,221.0
0.05756925046443939,214.0
0.11526726931333542,163.0
0.9906742572784424,198.0
0.07686407119035721,190.0
0.1421375870704651,176.0
0.1478012204170227,180.0
0.11940222233533859,306.0
0.23151561617851257,292.0
0.3140321671962738,299.0
0.03167280554771423,288.0
0.038938503712415695,172.0
0.5291632413864136,199.0
0.175790935754776,171.0
0.03529446944594383,210.0
0.251608669757843,239.0
0.026551950722932816,286.0
0.190381720662117,280.0
0.05656560882925987,248.0
0.2116280496120453,145.0
0.019496306777000427,214.0
0.08295825123786926,196.0
0.02394147217273712,226.0
0.13550379872322083,252.0
0.2576887011528015,164.0
0.045214295387268066,132.0
0.048168592154979706,149.0
0.1960797905921936,202.0
0.03651825338602066,189.0
0.029181264340877533,220.0
0.09390024840831757,280.0
0.07818610966205597,165.0
2.7049577236175537,232.0
1.764434576034546,290.0
0.04591745510697365,75.0
0.020167911425232887,148.0
0.07356217503547668,188.0
0.663906991481781,131.0
0.23013071715831757,353.0
0.06395316123962402,158.0
0.23937174677848816,197.0
0.19808249175548553,220.0
0.1561703085899353,209.0
0.12309116125106812,225.0
0.033295948058366776,208.0
0.04760174825787544,267.0
0.10154755413532257,120.0
0.040584299713373184,110.0
0.03350723162293434,153.0
0.015507811680436134,249.0
0.3713209331035614,184.0
0.13846932351589203,208.0
2.0114824771881104,28.0
0.07913406938314438,218.0
0.0464506596326828,187.0
0.06868939101696014,255.0
0.038282476365566254,214.0
0.10219547152519226,232.0
3.068105697631836,152.0
0.0959562435746193,184.0
0.015913400799036026,174.0
0.0717589259147644,207.0
1.1357026100158691,100.0
1.8645691871643066,135.0
0.2047504186630249,173.0
0.20908232033252716,168.0
0.05265868827700615,186.0
0.1061873584985733,238.0
5.229286193847656,258.0
0.18499118089675903,169.0
0.08681603521108627,293.0
0.08211308717727661,160.0
0.028700700029730797,205.0
0.0387178473174572,174.0
0.20794445276260376,170.0
0.017371520400047302,216.0
0.02757076360285282,303.0
0.041190557181835175,185.0
0.13393276929855347,185.0
0.023073650896549225,109.0
0.05951322615146637,100.0
0.03768102452158928,188.0
0.07820932567119598,285.0
0.13962635397911072,102.0
0.1004268154501915,178.0
0.025946270674467087,197.0
0.1200183779001236,189.0
0.022260475903749466,161.0
0.036418091505765915,215.0
0.16408561170101166,98.0
6.639782428741455,20.0
0.01899920031428337,140.0
0.02174541912972927,72.0
0.02553197741508484,251.0
0.11293504387140274,211.0
0.0735749751329422,234.0
0.14906847476959229,145.0
0.01679452881217003,74.0
0.0899222195148468,211.0
0.5907614827156067,197.0
0.045407168567180634,158.0
0.08469868451356888,147.0
0.027121713384985924,155.0
0.03777417540550232,107.0
0.08673538267612457,298.0
0.018462281674146652,182.0
0.023081079125404358,74.0
0.16823869943618774,344.0
0.025229139253497124,342.0
2.531780481338501,104.0
0.06895708292722702,135.0
0.032198868691921234,212.0
0.03592635691165924,130.0
0.04536774009466171,207.0
0.40210986137390137,249.0
0.039067547768354416,127.0
0.0238223597407341,202.0
0.10416719317436218,202.0
0.05659894645214081,120.0
0.5947316884994507,164.0
0.015051698312163353,177.0
0.1209896132349968,111.0
0.030923016369342804,140.0
0.2022620439529419,105.0
1.8615666627883911,168.0
0.33742964267730713,185.0
0.01713312789797783,218.0
0.10581986606121063,233.0
0.03666310757398605,196.0
0.08191757649183273,247.0
0.7487865686416626,14.0
0.04542688652873039,131.0
0.05695784091949463,152.0
0.07073064148426056,275.0
0.07830218970775604,177.0
0.04943796619772911,187.0
0.4795946478843689,300.0
0.1013457328081131,174.0
0.018235094845294952,214.0
0.10128328204154968,221.0
0.02157636359333992,183.0
0.0518583282828331,346.0
0.06603503972291946,286.0
0.052849721163511276,34.0
0.03240116313099861,163.0
0.08699986338615417,299.0
0.028394533321261406,77.0
0.022286996245384216,149.0
0.08044173568487167,16.0
0.08934078365564346,129.0
0.032104067504405975,164.0
0.03983817994594574,247.0
0.09007803350687027,76.0
0.012877722270786762,364.0
0.10804124176502228,118.0
0.05997446924448013,61.0
0.024336494505405426,222.0
0.06582625210285187,311.0
0.048467688262462616,109.0
0.016344638541340828,131.0
0.07046891748905182,145.0
0.951240062713623,166.0
0.053823888301849365,290.0
0.04921114444732666,84.0
0.06897488236427307,97.0
0.04840324819087982,166.0
0.027233976870775223,272.0
0.06557753682136536,164.0
0.28124746680259705,92.0
0.06438440084457397,110.0
0.10947435349225998,279.0
0.053214557468891144,182.0
0.03443102166056633,184.0
0.17049486935138702,168.0
0.05535557493567467,177.0
0.0348704494535923,217.0
0.01680612564086914,265.0
0.06471182405948639,238.0
6.903685569763184,132.0
0.43350836634635925,143.0
0.09977521747350693,120.0
0.2844941020011902,137.0
0.09179900586605072,198.0
0.02461494691669941,52.0
1.722078800201416,172.0
0.21594689786434174,96.0
0.026892153546214104,21.0
0.01989053748548031,166.0
0.06673286110162735,232.0
0.07431329786777496,161.0
0.03538091480731964,138.0
0.043171994388103485,204.0
0.019165705889463425,219.0
0.10798294097185135,126.0
0.08852548152208328,134.0
0.047141216695308685,282.0
0.10223954916000366,396.0
0.06072623282670975,66.0
1.5207923650741577,70.0
0.19551768898963928,125.0
0.05526331067085266,235.0
0.012138969264924526,137.0
0.03159918636083603,122.0
0.042383208870887756,127.0
0.17902638018131256,112.0
0.11904745548963547,213.0
0.020405031740665436,156.0
0.07317226380109787,226.0
0.10260569304227829,192.0
0.012606797739863396,175.0
0.6681361198425293,151.0
0.015068786218762398,172.0
1.501344919204712,11.0
0.0490025132894516,23.0
0.061786897480487823,171.0
0.061822060495615005,98.0
0.026186875998973846,123.0
0.046477437019348145,199.0
0.03715372458100319,168.0
0.03077886626124382,134.0
0.023426087573170662,134.0
0.30250391364097595,13.0
0.03861360251903534,29.0
0.12202223390340805,71.0
0.054201640188694,125.0
0.07238101959228516,173.0
0.035887688398361206,193.0
0.3915576636791229,300.0
0.10455163568258286,208.0
0.03405354544520378,148.0
0.1225561797618866,174.0
0.029440563172101974,112.0
0.07666674256324768,154.0
0.019873371347784996,185.0
0.1579476296901703,228.0
1.5390503406524658,150.0
0.1871931254863739,171.0
0.03688111901283264,164.0
0.05018696188926697,166.0
0.03532600402832031,181.0
