loss,reward
0.45564156770706177,27.0
0.5567859411239624,115.0
0.28860342502593994,187.0
0.22529396414756775,19.0
1.9316821098327637,108.0
0.19797411561012268,116.0
0.1175769791007042,12.0
0.1901017129421234,121.0
1.4287528991699219,34.0
0.21243977546691895,107.0
0.16352108120918274,105.0
0.17613372206687927,22.0
0.8219974637031555,265.0
0.8191458582878113,40.0
0.4694518446922302,133.0
0.9992022514343262,117.0
0.47639816999435425,119.0
0.3267146944999695,34.0
0.20796969532966614,100.0
0.48512208461761475,105.0
1.0903314352035522,45.0
0.41201645135879517,106.0
1.3443621397018433,28.0
0.3885727822780609,106.0
1.2805637121200562,92.0
0.9591882228851318,98.0
0.3488205671310425,116.0
0.44701245427131653,14.0
0.3365957736968994,99.0
0.530770480632782,129.0
0.3270902633666992,15.0
0.18977321684360504,187.0
0.18516896665096283,209.0
0.9778525829315186,193.0
1.1290501356124878,36.0
0.2452964335680008,18.0
1.029671549797058,223.0
0.1766500622034073,99.0
0.20486387610435486,68.0
0.11393594741821289,100.0
0.11678143590688705,117.0
0.647750973701477,15.0
0.2611237168312073,11.0
0.1321486234664917,18.0
0.48929545283317566,14.0
0.372060626745224,112.0
0.536807119846344,147.0
0.6084354519844055,105.0
0.5822449326515198,110.0
0.1517634391784668,26.0
0.2097052037715912,17.0
0.3947516679763794,110.0
0.3160143494606018,130.0
0.5356277227401733,127.0
0.2238599956035614,141.0
0.11604773253202438,24.0
1.710436224937439,102.0
0.7654407620429993,203.0
0.5110474228858948,23.0
0.2043575942516327,107.0
0.7241238355636597,10.0
0.3754521608352661,101.0
0.13270723819732666,95.0
0.45727798342704773,25.0
1.2685270309448242,143.0
0.14737549424171448,15.0
0.335155189037323,117.0
0.2427186667919159,30.0
1.096156120300293,74.0
0.3198089897632599,49.0
0.4088723063468933,189.0
0.6460855603218079,134.0
0.1838129758834839,15.0
0.2307811826467514,16.0
0.09810380637645721,85.0
0.26534295082092285,159.0
0.29803138971328735,32.0
0.19313371181488037,10.0
0.16149121522903442,74.0
0.17504654824733734,134.0
0.413856565952301,80.0
0.16315388679504395,169.0
0.1460152566432953,40.0
0.2286233752965927,114.0
0.12380986660718918,19.0
0.15123237669467926,12.0
0.6799992918968201,26.0
0.12985801696777344,181.0
0.13110964000225067,122.0
0.20695993304252625,47.0
0.7541174292564392,121.0
0.13215629756450653,38.0
0.22506287693977356,69.0
0.217865452170372,11.0
0.8162939548492432,10.0
0.1839049607515335,12.0
1.5376842021942139,17.0
0.2247088998556137,141.0
0.6688401699066162,151.0
0.40317007899284363,135.0
0.19082725048065186,143.0
0.3732982277870178,18.0
0.25012919306755066,117.0
0.10844384133815765,74.0
0.20186950266361237,41.0
0.32998937368392944,145.0
0.2036331295967102,28.0
1.815003752708435,183.0
0.2995983362197876,17.0
0.2009885609149933,19.0
0.10619031637907028,16.0
0.4059416353702545,146.0
0.16550752520561218,49.0
0.770437479019165,121.0
0.45076560974121094,114.0
0.4256897568702698,12.0
0.43441563844680786,15.0
0.20205654203891754,70.0
0.25545576214790344,25.0
0.40038275718688965,289.0
0.4348554015159607,102.0
0.7999441623687744,26.0
0.3519964814186096,155.0
0.20525100827217102,69.0
0.5335636734962463,14.0
0.1398535519838333,13.0
0.820941686630249,96.0
0.9024765491485596,123.0
0.42996734380722046,113.0
0.830581784248352,19.0
0.21581991016864777,112.0
0.17136675119400024,179.0
0.4481595754623413,75.0
0.8258540034294128,122.0
0.36953240633010864,12.0
0.7314257621765137,17.0
0.9260917901992798,18.0
0.5388226509094238,96.0
0.31056058406829834,52.0
1.7436497211456299,18.0
0.7956736087799072,157.0
1.3191440105438232,122.0
1.5926464796066284,109.0
1.1662745475769043,104.0
0.9932880997657776,14.0
1.1043510437011719,107.0
0.1382606327533722,163.0
0.29456913471221924,63.0
0.5708985328674316,14.0
0.7344797849655151,104.0
0.34921592473983765,110.0
1.0365673303604126,101.0
0.6452847719192505,103.0
1.4022554159164429,92.0
1.0934940576553345,100.0
0.74964439868927,103.0
0.21777427196502686,30.0
0.18226996064186096,46.0
0.16810354590415955,43.0
0.8314961194992065,14.0
0.2226787656545639,14.0
0.23811937868595123,138.0
0.5928788781166077,16.0
1.0468814373016357,121.0
1.5472521781921387,108.0
0.3108137547969818,18.0
0.5160269737243652,12.0
0.09349782764911652,15.0
0.13089688122272491,162.0
0.14048126339912415,56.0
1.024510145187378,28.0
1.3217108249664307,109.0
0.2565564215183258,13.0
0.6079034209251404,103.0
0.5406771898269653,29.0
0.6985180974006653,121.0
0.14040735363960266,27.0
0.16377396881580353,102.0
1.5616445541381836,97.0
0.3094749450683594,31.0
0.6658555269241333,112.0
0.43412792682647705,23.0
0.21934235095977783,21.0
0.2551734149456024,110.0
0.9158232808113098,46.0
0.882307767868042,20.0
0.32732340693473816,113.0
0.43444857001304626,146.0
0.2220037877559662,138.0
0.27938586473464966,123.0
0.1956462860107422,21.0
0.6459448933601379,16.0
0.6723514199256897,16.0
0.5752990245819092,138.0
0.33207303285598755,17.0
0.27460888028144836,51.0
1.3137468099594116,11.0
0.28781408071517944,11.0
1.1438466310501099,30.0
1.068880319595337,111.0
